Home \ Away,ARS,AVL,BOU,BRE,BHA,BUR,CHE,CRY,EVE,FUL,LIV,LUT,MCI,MUN,NEW,NFO,SHU,TOT,WHU,WOL
Arsenal,—,0–2,3–0,2–1,2–0,3–1,5–0,5–0,2–1,0–2,3–0,2–1,2–0,3–1,5–0,5–0,2–1,0–2,3–0,2–1
Aston Villa,1–0,—,3–1,3–3,6–1,3–2,2–2,3–1,4–0,—,3–1,3–3,6–1,3–2,2–2,3–1,4–0,—,3–1,3–3
Bournemouth,0–4,2–2,—,1–2,3–0,2–1,0–0,1–0,2–1,2–2,—,1–2,3–0,2–1,0–0,1–0,2–1,2–2,—,1–2
Brentford,0–1,1–2,2–2,—,0–0,3–0,2–2,1–1,1–3,1–2,2–2,—,0–0,3–0,2–2,1–1,1–3,1–2,2–2,—
Brighton & Hove Albion,0–3,1–0,3–1,2–1,—,1–1,1–2,4–1,1–1,1–0,3–1,2–1,—,1–1,1–2,4–1,1–1,1–0,3–1,2–1
Burnley,0–5,1–3,0–2,2–1,1–1,—,1–4,0–2,0–2,1–3,0–2,2–1,1–1,—,1–4,0–2,0–2,1–3,0–2,2–1
Chelsea,2–2,0–1,2–1,0–2,3–2,2–2,—,2–1,6–0,0–1,2–1,0–2,3–2,2–2,—,2–1,6–0,0–1,2–1,0–2
Crystal Palace,0–1,5–0,0–2,3–1,1–1,3–0,1–3,—,2–3,5–0,0–2,3–1,1–1,3–0,1–3,—,2–3,5–0,0–2,3–1
Everton,0–1,0–0,3–0,1–0,1–1,1–0,2–0,1–1,—,0–0,3–0,1–0,1–1,1–0,2–0,1–1,—,0–0,3–0,1–0
Fulham,2–1,1–2,3–1,0–3,3–0,0–2,0–2,1–1,0–0,1–2,3–1,0–3,3–0,0–2,0–2,1–1,0–0,1–2,3–1,0–3
Liverpool,1–1,3–0,3–1,3–0,2–1,3–1,4–1,0–1,2–0,3–0,3–1,3–0,2–1,3–1,4–1,0–1,2–0,3–0,3–1,3–0
Luton Town,3–4,2–3,2–1,1–5,4–0,1–2,2–3,2–1,1–1,2–3,2–1,1–5,4–0,1–2,2–3,2–1,1–1,2–3,2–1,1–5
Manchester City,0–0,4–1,6–1,1–0,2–1,3–1,1–1,2–2,2–0,4–1,6–1,1–0,2–1,3–1,1–1,2–2,2–0,4–1,6–1,1–0
Manchester United,0–1,3–2,0–3,2–1,1–3,1–1,2–1,0–1,2–0,3–2,0–3,2–1,1–3,1–1,2–1,0–1,2–0,3–2,0–3,2–1
Newcastle United,1–0,5–1,2–2,1–0,1–1,2–0,4–1,4–0,1–1,5–1,2–2,1–0,1–1,2–0,4–1,4–0,1–1,5–1,2–2,1–0
Nottingham Forest,1–2,2–0,2–3,1–1,2–3,1–1,2–3,1–1,0–1,2–0,2–3,1–1,2–3,1–1,2–3,1–1,0–1,2–0,2–3,1–1
Sheffield United,0–6,0–5,1–3,1–0,0–5,1–4,2–2,0–1,2–2,0–5,1–3,1–0,0–5,1–4,2–2,0–1,2–2,0–5,1–3,1–0
Tottenham Hotspur,2–3,1–2,3–1,3–2,2–1,2–1,1–4,3–1,2–1,1–2,3–1,3–2,2–1,2–1,1–4,3–1,2–1,1–2,3–1,3–2
West Ham United,0–6,1–1,1–1,4–2,0–0,2–2,3–1,1–1,0–1,1–1,1–1,4–2,0–0,2–2,3–1,1–1,0–1,1–1,1–1,4–2
Wolverhampton Wanderers,0–2,1–1,0–1,0–2,1–4,1–0,2–1,1–3,3–0,1–1,0–1,0–2,1–4,1–0,2–1,1–3,3–0,1–1,0–1,0–2
